__row,name,alt_name,ra,dec,lii,bii,helio_distance,galcen_distance,x_distance,y_distance,z_distance,metallicity,num_metallicity_measures,reddening,hb_vmag,app_distance_mod,vmag,abs_vmag,ub_color,bv_color,vr_color,vi_color,spect_type,ellipticity,radial_velocity,radial_velocity_error,lsr_radial_velocity,central_sigma_v,central_sigma_v_error,central_concentration,core_collapse_flag,core_radius,half_light_radius,cent_surf_brightness,log_lum_density,log_core_relaxtime,log_hmr_relaxtime,class,__x_ra_dec,__y_ra_dec,__z_ra_dec
112,NGC 6171,M 107,248.13275,-13.05378,3.37330,23.01056,6.4,3.3,5.9,0.3,2.5,-1.02,4,0.33,15.70,15.05,7.93,-7.12,0.69,1.10,0.72,1.45,G0,0.02,-34.1,0.3,-23.0,4.1,0.3,1.53,,0.56,1.73,18.94,3.08,8.06,9.00,3080,-0.904067111344168,-0.362832516328411,-0.225865498207684
113,NGC 6981,M 72,313.36542,-12.53731,35.16232,-32.68313,17.0,12.9,11.7,8.3,-9.2,-1.42,4,0.05,16.90,16.31,9.27,-7.04,0.14,0.72,0.45,0.94,F7,0.02,-345.0,3.7,-336.2,,,1.21,,0.46,0.93,19.02,2.38,8.72,9.23,3080,-0.709654110232944,0.670275603320968,-0.217075239081294
114,NGC 6517,,270.46050,-8.95878,19.22506,6.76271,10.6,4.2,10.0,3.5,1.3,-1.23,4,1.08,19.10,18.48,10.23,-8.25,0.85,1.75,,2.31,F8,0.06,-39.6,8.0,-26.5,,,1.82,,0.06,0.50,17.56,5.29,6.92,8.72,3080,-0.987768729411511,0.0079391064823402,-0.155723818939275
115,NGC 6712,,283.26792,-8.70611,25.35394,-4.31798,6.9,3.5,6.3,3.0,-0.5,-1.02,4,0.45,16.25,15.60,8.10,-7.50,0.53,1.17,0.72,1.57,F9,0.11,-107.6,0.5,-94.7,4.3,0.4,1.05,,0.76,1.33,18.74,3.18,8.60,8.95,3080,-0.9620928439177,0.226860348444049,-0.151366251146672
116,Pal 11,,296.31000,-8.00722,31.80510,-15.57595,13.4,8.2,11.0,6.8,-3.6,-0.40,4,0.35,17.46,16.72,9.80,-6.92,,1.27,,,,,-68.0,10.0,-56.0,,,0.57,,1.19,1.46,19.72,2.29,9.61,9.34,3080,-0.887669561872596,0.438906410426831,-0.139297924647667
117,NGC 6539,,271.20700,-7.58586,20.79498,6.77594,7.8,3.0,7.2,2.8,0.9,-0.63,5,1.02,18.33,17.62,9.33,-8.29,1.01,1.83,,2.23,G4,0.08,31.0,1.7,44.4,,,1.74,,0.38,1.70,18.58,4.15,8.31,9.32,3080,-0.991028206302427,0.0208802119949603,-0.132011783792357
118,IC 1276,Pal 7,272.68417,-7.20761,21.83193,5.66855,5.4,3.7,5.0,2.0,0.5,-0.75,1,1.08,17.70,17.01,10.34,-6.67,1.03,1.76,,,,,155.7,1.3,169.2,,,1.33,,1.01,2.38,21.60,2.78,8.46,9.03,3080,-0.991009567419427,0.0464603600690841,-0.125465023912688
119,IC 1257,,261.78542,-7.09306,16.52777,15.14498,25.0,17.9,23.2,6.9,6.5,-1.70,1,0.73,19.80,19.25,13.10,-6.15,,1.38,,1.83,,,-140.2,2.1,-127.0,,,1.55,,0.25,1.40,,,,9.60,3080,-0.982165328908254,-0.141787374161396,-0.123481201884972
120,NGC 5634,,217.40512,-5.97642,342.20945,49.26042,25.2,21.2,15.7,-5.0,19.1,-1.88,2,0.05,17.68,17.16,9.47,-7.69,0.09,0.67,0.44,0.96,F3/,0.02,-45.1,6.6,-37.5,,,2.07,,0.09,0.86,17.20,3.63,7.67,9.54,3080,-0.604145322532709,-0.790042810079319,-0.104119102492398
121,NGC 6366,,261.93433,-5.07986,18.40855,16.03558,3.5,5.0,3.2,1.1,1.0,-0.59,3,0.71,15.65,14.94,9.20,-5.74,0.97,1.44,,,,0.16,-122.2,0.5,-108.6,1.3,0.5,0.74,,2.17,2.92,21.25,2.39,8.74,8.73,3080,-0.986219015148303,-0.139756860479984,-0.0885441929698967
122,NGC 6254,M 10,254.28771,-4.10031,15.13705,23.07598,4.4,4.6,3.9,1.1,1.7,-1.56,4,0.28,14.65,14.08,6.60,-7.48,0.23,0.90,0.53,1.21,F3,0.00,75.2,0.7,88.5,6.6,0.8,1.38,,0.77,1.95,17.70,3.54,8.21,8.90,3080,-0.960169716740556,-0.270113809043518,-0.0715027637113551
124,NGC 6402,M 14,264.40042,-3.24592,21.32375,14.80462,9.3,4.0,8.3,3.3,2.4,-1.28,1,0.60,17.30,16.69,7.59,-9.10,0.57,1.25,0.81,1.64,F4,0.11,-66.1,1.8,-52.1,,,0.99,,0.79,1.30,18.41,3.36,9.06,9.39,3080,-0.993631473485984,-0.0974191223834124,-0.0566216344882228
125,NGC 6218,M 12,251.80908,-1.94853,15.71519,26.31328,4.8,4.5,4.2,1.2,2.1,-1.37,5,0.19,14.60,14.01,6.70,-7.31,0.20,0.83,0.56,1.14,F8,0.04,-41.4,0.2,-27.9,4.5,0.4,1.34,,0.79,1.77,18.10,3.23,8.19,8.87,3080,-0.949472230067224,-0.31200379925416,-0.0340016702845958
126,GLIMPSE01,,282.20708,-1.49722,31.30196,-0.10222,4.2,4.9,3.6,2.2,0.0,,0,4.85,28.80,28.15,22.24,-5.91,,,,,,,,,,,,1.37,,0.59,0.65,,,,7.89,3080,-0.97705607346743,0.211373441215434,-0.0261284834835996
127,NGC 7089,M 2,323.36258,-0.82325,53.37087,-35.76976,11.5,10.4,5.6,7.5,-6.7,-1.65,5,0.06,16.05,15.50,6.47,-9.03,0.09,0.66,0.46,0.92,F4,0.11,-5.3,2.0,3.8,8.2,0.6,1.59,,0.32,1.06,15.78,4.00,8.48,9.40,3080,-0.596687424168201,0.80234511306863,-0.0143679286748693
128,Pal 15,,254.96250,-0.53889,18.84867,24.33704,45.1,38.4,38.9,13.3,18.6,-2.07,4,0.40,20.00,19.51,14.00,-5.51,,,,,,,68.9,1.1,82.9,,,0.60,,1.20,1.10,24.87,-0.25,9.99,9.72,3080,-0.965713507047719,-0.259439710990605,-0.00940524676479945
129,NGC 6535,,270.96046,-0.29764,27.17552,10.43577,6.8,3.9,6.0,3.1,1.2,-1.79,3,0.34,15.75,15.22,10.47,-4.75,0.29,0.94,,,G0,0.08,-215.1,0.5,-200.4,2.4,0.5,1.33,,0.36,0.85,21.26,2.34,7.28,8.20,3080,-0.99984601058402,0.016762148941267,-0.00519475524836838
130,Pal 5,,229.02187,-0.11161,0.85162,45.86000,23.2,18.6,16.2,0.2,16.7,-1.41,2,0.03,17.51,16.92,11.75,-5.17,,,,,,,-58.7,0.2,-48.0,1.1,0.2,0.52,,2.29,2.73,24.64,-0.58,9.81,9.82,3080,-0.754958570099263,-0.655769595823968,-0.00194798011932729
131,Pal 3,,151.38292,0.07167,240.14143,41.86461,92.5,95.7,-34.3,-59.7,61.7,-1.63,5,0.04,20.51,19.95,14.26,-5.69,,,,,,,83.4,8.4,75.9,,,0.99,,0.41,0.65,23.26,0.01,9.65,9.88,3080,0.478953241702062,-0.877839522757344,0.0012508190292789
132,NGC 6760,,287.80004,1.03047,36.10771,-3.92410,7.4,4.8,5.9,4.3,-0.5,-0.40,3,0.77,17.46,16.72,8.88,-7.84,1.09,1.66,1.01,2.12,G5,0.04,-27.5,6.3,-13.2,,,1.65,,0.34,1.27,18.66,3.89,7.96,9.01,3080,-0.951975184330148,0.305646557779364,0.0179841635114676
133,NGC 6749,,286.31375,1.90083,36.20079,-2.20466,7.9,5.0,6.4,4.7,-0.3,-1.60,1,1.50,19.70,19.14,12.44,-6.70,0.80,2.14,,,,,-61.7,2.9,-47.2,,,0.79,,0.62,1.10,21.88,3.30,8.59,8.78,3080,-0.959209797653165,0.280742469373934,0.0331697147410216
134,NGC 5904,M 5,229.63842,2.08103,3.85872,46.79637,7.5,6.2,5.1,0.3,5.5,-1.29,11,0.03,15.07,14.46,5.65,-8.81,0.17,0.72,0.45,0.95,F7,0.14,53.2,0.4,64.3,5.5,0.4,1.73,,0.44,1.77,16.09,3.88,8.28,9.41,3080,-0.761470157251437,-0.647182030089676,0.0363128013857077
135,NGC 6426,,266.22771,3.17014,28.08682,16.23387,20.6,14.4,17.4,9.3,5.8,-2.15,3,0.36,18.16,17.68,11.01,-6.67,0.35,1.02,,1.28,G1,0.15,-162.0,23.0,-146.9,,,1.70,,0.26,0.92,20.09,2.47,8.31,9.28,3080,-0.996306438611539,-0.065690675188023,0.0553011353819576
136,NGC 6934,,308.54737,7.40447,52.10325,-18.89295,15.6,12.8,9.1,11.7,-5.1,-1.47,2,0.10,16.86,16.28,8.83,-7.45,0.20,0.77,0.49,0.99,F7/,0.01,-411.4,1.6,-398.5,5.1,1.1,1.53,,0.22,0.69,17.35,3.44,8.20,9.04,3080,-0.775571371513051,0.617965045364074,0.12887300104189
137,NGC 7078,M 15,322.49304,12.16700,65.01263,-27.31262,10.4,10.4,3.9,8.3,-4.8,-2.37,11,0.10,15.83,15.39,6.20,-9.19,0.06,0.68,,0.85,F3/,0.05,-107.0,0.2,-96.0,13.5,0.9,2.29,c,0.14,1.00,14.21,5.05,7.84,9.32,3080,-0.595181273608699,0.775460321916885,0.210761810293251
138,Ko 1,,179.82708,12.26000,260.97688,70.75496,48.3,49.3,-2.5,-15.7,45.6,,0,0.01,19.10,18.45,17.10,-1.35,,,,,,,,,,,,0.50,,0.33,0.26,,,,8.62,3080,0.00294913321119934,-0.97718960939489,0.212348227927536
139,Pal 13,,346.68517,12.77200,87.10360,-42.69984,26.0,26.9,1.0,19.1,-17.6,-1.88,2,0.05,17.75,17.23,13.47,-3.76,-0.11,0.76,,,,,25.2,0.3,30.9,0.9,0.3,0.66,,0.48,0.36,24.31,0.16,8.36,8.35,3080,-0.224603438550918,0.949041885332494,0.221071923309246
140,Pal 14,AvdB,242.75250,14.95778,28.74555,42.19152,76.5,71.6,49.7,27.3,51.4,-1.62,4,0.04,20.10,19.54,14.74,-4.80,,,,,,,72.3,0.2,87.0,0.4,0.1,0.80,,0.82,1.22,25.25,-0.97,9.85,10.02,3080,-0.858913245092826,-0.442321972379145,0.258107167964655
141,NGC 7006,,315.37242,16.18733,63.76945,-19.40702,41.2,38.5,17.2,34.8,-13.7,-1.52,6,0.05,18.80,18.23,10.56,-7.67,0.06,0.75,,0.98,F6,0.01,-384.1,0.4,-371.3,,,1.41,,0.17,0.44,18.62,2.58,8.66,9.42,3080,-0.674645549915057,0.683473307029366,0.278778802203743
142,NGC 5053,,199.11288,17.70025,335.69872,78.94614,17.4,17.8,3.0,-1.4,17.1,-2.27,4,0.01,16.69,16.23,9.47,-6.76,0.03,0.65,,0.90,,0.21,44.0,0.4,50.9,1.4,0.2,0.74,,2.08,2.61,22.03,0.54,9.81,9.87,3080,-0.311929734753332,-0.90014510543275,0.304037217692472
143,NGC 5024,M 53,198.23021,18.16817,332.96298,79.76419,17.9,18.4,2.8,-1.4,17.6,-2.10,2,0.02,16.81,16.32,7.61,-8.71,0.09,0.64,0.45,0.86,F6,0.01,-62.9,0.3,-56.2,4.4,0.9,1.72,,0.35,1.31,17.38,3.07,8.73,9.76,3080,-0.297239444658816,-0.9024550205399,0.311807069261182
144,NGC 4147,,182.52625,18.54264,252.84823,77.18948,19.3,21.4,-1.3,-4.1,18.8,-1.80,4,0.02,17.02,16.49,10.32,-6.17,0.11,0.59,0.42,0.79,F2/,0.08,183.2,0.7,186.1,2.6,0.7,1.83,,0.09,0.48,17.38,3.63,7.41,8.74,3080,-0.041788932749036,-0.947165842848222,0.318010300527063
145,Pal 10,,289.50875,18.57167,52.43635,2.72487,5.9,6.4,3.6,4.7,0.3,-0.10,1,1.66,19.80,19.01,13.22,-5.79,,,,,,,-31.7,0.4,-15.6,,,0.58,,0.81,0.99,22.03,3.51,8.69,8.37,3080,-0.893506065883126,0.316560665048142,0.318490589459621
146,NGC 6838,M 71,298.44371,18.77919,56.74587,-4.56443,4.0,6.7,2.2,3.4,-0.3,-0.78,11,0.25,14.48,13.80,8.19,-5.61,0.63,1.09,0.63,1.36,G1,0.00,-22.8,0.2,-7.5,2.3,0.2,1.15,,0.63,1.67,19.75,2.83,7.54,8.43,3080,-0.832477795451799,0.450940125237492,0.321921921481758
147,Ko 2,,119.57083,26.25500,195.11202,25.54543,34.7,41.9,-30.2,-8.2,15.0,,0,0.08,18.60,17.95,17.60,-0.35,,,,,,,,,,,,0.50,,0.25,0.21,,,,7.70,3080,0.780018140218376,-0.442586915373009,0.442366955446347
148,NGC 5272,M 3,205.54842,28.37728,42.21695,78.70685,10.2,12.0,1.5,1.3,10.0,-1.50,7,0.01,15.64,15.07,6.19,-8.88,0.09,0.69,,0.93,F6,0.04,-147.6,0.2,-138.3,5.5,0.3,1.89,,0.37,2.31,16.64,3.57,8.31,9.79,3080,-0.379450572885862,-0.793807678391995,0.475275322799851
149,NGC 5466,,211.36371,28.53444,42.15022,73.59225,16.0,16.3,3.3,3.0,15.3,-1.98,3,0.00,16.52,16.02,9.04,-6.98,,0.67,,0.82,,0.11,110.7,0.2,121.2,1.7,0.2,1.04,,1.43,2.30,21.61,0.84,9.35,9.76,3080,-0.457247578079087,-0.750159843288871,0.477686991509739
150,Pal 4,,172.32000,28.97358,202.31067,71.80261,108.7,111.2,-31.4,-12.9,103.2,-1.41,5,0.01,20.80,20.21,14.20,-6.01,,,,,,,74.5,2.1,76.6,,,0.93,,0.33,0.51,23.01,0.11,9.72,9.42,3080,0.116914263627394,-0.866995717188018,0.484406318433295
151,NGC 6779,M 56,289.14821,30.18347,62.65940,8.33638,9.4,9.2,4.3,8.3,1.4,-1.98,2,0.26,16.18,15.68,8.27,-7.41,0.15,0.86,,1.16,F5,0.03,-135.6,0.9,-119.1,4.0,0.6,1.38,,0.44,1.10,18.08,3.28,8.33,9.01,3080,-0.816594334576295,0.283540831372556,0.502770613383935
152,Pal 2,,71.52463,31.38150,170.53021,-9.07221,27.2,35.0,-26.4,4.4,-4.3,-1.42,1,1.24,21.60,21.01,13.04,-7.97,1.83,2.08,,2.65,,0.05,-133.0,57.0,-140.1,,,1.53,,0.17,0.50,19.06,4.06,8.82,9.28,3080,0.809718252995251,0.270541025793352,0.520734005159063
153,NGC 6205,M 13,250.42183,36.45986,59.00736,40.91292,7.1,8.4,2.8,4.6,4.7,-1.53,13,0.02,14.90,14.33,5.78,-8.55,-0.02,0.68,,0.86,F6,0.11,-244.2,0.2,-228.0,7.1,0.4,1.53,,0.62,1.69,16.59,3.55,8.51,9.30,3080,-0.757774476088978,-0.269506023815798,0.594259494257411
154,NGC 2419,,114.53529,38.88244,180.36903,25.24162,82.6,89.9,-74.7,-0.5,35.2,-2.15,2,0.08,20.31,19.83,10.41,-9.42,0.07,0.66,,1.05,F5,0.03,-20.2,0.5,-25.2,4.0,0.6,1.37,,0.32,0.89,19.67,1.62,9.87,10.63,3080,0.708147204018941,-0.323248199238581,0.627724572666365
155,NGC 6341,M 92,259.28079,43.13594,68.33839,34.85891,8.3,9.6,2.5,6.3,4.7,-2.31,8,0.02,15.10,14.65,6.44,-8.21,0.01,0.63,,0.88,F2,0.10,-120.0,0.1,-103.5,6.0,0.4,1.68,,0.26,1.02,15.47,4.30,7.96,9.02,3080,-0.716999995275333,-0.135727526599163,0.683731705640777
156,NGC 6229,,251.74496,47.52775,73.63859,40.30651,30.5,29.8,6.5,22.3,19.7,-1.47,2,0.01,18.03,17.45,9.39,-8.06,-0.03,0.70,,1.01,F7,0.05,-154.2,7.6,-138.4,,,1.50,,0.12,0.36,16.77,3.54,8.30,9.15,3080,-0.641249622067251,-0.211514976998971,0.73760445816422
157,Pal 1,,53.33350,79.58106,130.06483,19.02806,11.1,17.2,-6.8,8.1,3.6,-0.65,2,0.15,16.40,15.70,13.18,-2.52,,0.96,,,,0.22,-82.8,3.3,-76.2,,,2.57,,0.01,0.46,20.93,3.51,4.06,7.76,3080,0.145059758546711,0.107992333165305,0.983511729684951
