__row,name,alt_name,ra,dec,lii,bii,helio_distance,galcen_distance,x_distance,y_distance,z_distance,metallicity,num_metallicity_measures,reddening,hb_vmag,app_distance_mod,vmag,abs_vmag,ub_color,bv_color,vr_color,vi_color,spect_type,ellipticity,radial_velocity,radial_velocity_error,lsr_radial_velocity,central_sigma_v,central_sigma_v_error,central_concentration,core_collapse_flag,core_radius,half_light_radius,cent_surf_brightness,log_lum_density,log_core_relaxtime,log_hmr_relaxtime,class,__x_ra_dec,__y_ra_dec,__z_ra_dec
56,Terzan 1,HP 2,263.94917,-30.46972,357.56887,0.99580,6.7,1.3,6.7,-0.3,0.1,-1.03,3,1.99,20.96,20.31,15.90,-4.41,,,,,,,114.0,14.0,122.0,,,2.50,c,0.04,3.82,25.09,3.85,4.99,9.12,3080,-0.857095415435451,-0.0908532531518654,-0.50708296681239
57,NGC 6624,,275.91879,-30.36103,2.78832,-7.91346,7.9,1.2,7.8,0.4,-1.1,-0.44,4,0.28,16.09,15.36,7.87,-7.49,0.60,1.11,0.67,1.42,G4/,0.06,53.9,0.6,62.1,5.4,0.5,2.50,c,0.06,0.82,15.32,5.30,6.61,8.71,3080,-0.858257819530049,0.0889768220309344,-0.505446970865194
58,Arp 2,,292.18379,-30.35564,8.54536,-20.78535,28.6,21.4,26.4,4.0,-10.2,-1.75,5,0.10,18.13,17.59,12.30,-5.29,,0.86,,,,,115.0,10.0,122.4,,,0.88,,1.19,1.77,24.26,-0.25,9.39,9.70,3080,-0.799030748995864,0.325814758230608,-0.50536581352347
59,NGC 6266,M 62,255.30333,-30.11372,353.57392,7.31816,6.8,1.7,6.7,-0.8,0.9,-1.18,3,0.47,16.25,15.63,6.45,-9.18,0.52,1.19,0.74,1.58,F9,0.01,-70.1,1.4,-62.3,14.3,0.4,1.71,c:,0.22,0.92,15.10,5.16,7.90,8.98,3080,-0.836729636165451,-0.219459882341278,-0.501717924739773
60,NGC 6528,,271.20683,-30.05628,1.13816,-4.17443,7.9,0.6,7.9,0.2,-0.6,-0.11,7,0.54,16.95,16.17,9.60,-6.57,1.09,1.53,0.90,1.74,G3,0.11,206.6,1.4,214.9,,,1.50,,0.13,0.38,16.73,4.77,7.28,8.06,3080,-0.865341875961941,0.0182295780809091,-0.500850397014578
61,NGC 6522,,270.89175,-30.03397,1.02450,-3.92536,7.7,0.6,7.7,0.1,-0.5,-1.34,4,0.48,16.52,15.92,8.27,-7.65,0.65,1.21,0.76,1.51,F7/,0.06,-21.1,3.4,-12.9,6.7,0.7,2.50,c,0.05,1.00,15.75,5.48,6.38,8.86,3080,-0.865623934249838,0.0134736360207505,-0.500513402004594
62,HP 1,BH 229,262.77167,-29.98167,357.42521,2.11503,8.2,0.5,8.2,-0.4,0.3,-1.00,4,1.12,18.70,18.05,11.59,-6.46,,,,,,,45.8,0.7,54.0,,,2.50,c,0.03,3.10,21.29,4.33,5.03,9.44,3080,-0.859301427786911,-0.108986756891156,-0.499722866222594
63,NGC 6304,,258.63437,-29.46203,355.82560,5.37555,5.9,2.3,5.8,-0.4,0.6,-0.45,4,0.54,16.25,15.52,8.22,-7.30,0.82,1.31,0.77,1.70,G3,0.02,-107.3,3.6,-99.3,,,1.80,,0.21,1.42,17.20,4.49,7.36,8.85,3080,-0.853607420412124,-0.171584562741547,-0.491846632240327
64,BH 261,AL 3,273.52750,-28.63500,3.36169,-5.27038,6.5,1.7,6.5,0.4,-0.6,-1.30,1,0.36,15.80,15.19,11.00,-4.19,,,,,,0.03,,,,,,1.00,,0.40,0.55,,,,7.80,3080,-0.87602750762351,0.0540021860275648,-0.479228097873222
65,1636-283,ESO452-SC11,249.85604,-28.39869,351.91086,12.09669,8.3,2.1,8.0,-1.1,1.7,-1.50,1,0.46,16.60,16.02,12.00,-4.02,,,,,,,,,,,,1.00,,0.50,0.50,20.75,2.50,8.07,7.87,3080,-0.825850920419555,-0.30293718075541,-0.47560416499242
66,NGC 6316,,259.15542,-28.14011,357.17535,5.76449,10.4,2.6,10.4,-0.5,1.0,-0.45,5,0.54,17.50,16.77,8.43,-8.34,0.62,1.39,0.85,1.80,G2,0.04,71.4,8.9,79.9,,,1.65,,0.17,0.65,17.44,4.23,7.71,8.89,3080,-0.866049026891136,-0.16590620918391,-0.471629317128549
67,Djorg 2,ESO456-SC38,270.45458,-27.82583,2.76356,-2.50847,6.3,1.8,6.2,0.3,-0.3,-0.65,1,0.94,17.60,16.90,9.90,-7.00,,,,,,,,,,,,1.50,,0.33,1.05,19.50,3.85,7.73,0.00,3080,-0.884342767933784,0.00701650137449707,-0.466785429840815
68,NGC 6540,Djorg 3,271.53583,-27.76528,3.28509,-3.31299,5.3,2.8,5.2,0.3,-0.3,-1.35,2,0.66,16.25,15.65,9.30,-6.35,,,,,,,-17.7,1.4,-8.8,,,2.50,,0.03,,16.40,5.85,5.40,0.00,3080,-0.884545571051659,0.0237162327024354,-0.465850483566669
69,AM 4,,209.09042,-27.16750,320.28352,33.50725,32.2,27.8,20.7,-17.2,17.8,-1.30,1,0.05,18.30,17.69,15.88,-1.81,,,,,,,,,,,,0.70,,0.41,0.43,24.75,-0.05,8.42,8.32,3080,-0.432550647882436,-0.777446108404564,-0.45659334811524
70,Terzan 9,,270.41167,-26.83972,3.60313,-1.98878,7.1,1.1,7.1,0.4,-0.2,-1.05,2,1.76,20.35,19.71,16.00,-3.71,,,,,,,59.0,10.0,68.1,,,2.50,c,0.03,0.78,23.21,4.42,4.99,8.00,3080,-0.892249987039023,0.00641087187934457,-0.451496247327273
71,NGC 4590,M 68,189.86658,-26.74406,299.62577,36.05083,10.3,10.2,4.1,-7.2,6.0,-2.23,5,0.05,15.68,15.21,7.84,-7.37,0.04,0.63,0.46,0.94,F2/,0.05,-94.7,0.2,-96.8,2.5,0.4,1.41,,0.58,1.51,18.81,2.57,8.45,9.27,3080,-0.153023983598727,-0.879817280806399,-0.45000579200496
72,NGC 288,,13.18850,-26.58261,151.28499,-89.38042,8.9,12.0,-0.1,0.0,-8.9,-1.32,3,0.03,15.44,14.84,8.09,-6.75,0.08,0.65,0.45,0.94,,,-45.4,0.2,-51.9,2.9,0.3,0.99,,1.35,2.23,20.05,1.78,8.99,9.32,3080,0.204037162461634,0.870702932736377,-0.447487697326838
73,NGC 6293,,257.54250,-26.58208,357.62015,7.83431,9.5,1.9,9.4,-0.4,1.3,-1.99,5,0.36,16.50,16.00,8.22,-7.78,0.29,0.96,0.63,1.28,F3,0.03,-146.2,1.7,-137.4,7.7,1.3,2.50,c,0.05,0.89,15.72,5.31,6.38,8.94,3080,-0.873239202322668,-0.192913008380655,-0.447479459555851
74,NGC 5694,,219.90121,-26.53894,331.05550,30.35985,35.0,29.4,26.4,-14.6,17.7,-1.98,5,0.09,18.50,18.00,10.17,-7.83,0.08,0.69,0.48,0.98,F4,0.04,-140.3,0.8,-136.2,5.8,0.8,1.89,,0.06,0.40,16.51,3.95,7.85,9.27,3080,-0.573875116289927,-0.686317524982864,-0.446806004664908
75,NGC 6121,M 4,245.89675,-26.52575,350.97292,15.97218,2.2,5.9,2.1,-0.3,0.6,-1.16,11,0.35,13.45,12.82,5.63,-7.19,0.43,1.03,0.69,1.42,F8,0.00,70.7,0.2,78.6,4.0,0.2,1.65,,1.16,4.33,17.95,3.64,7.90,8.93,3080,-0.816722812418663,-0.365393367688522,-0.446599971478045
76,NGC 6355,,260.99412,-26.35342,359.58492,5.42794,9.2,1.4,9.2,-0.1,0.9,-1.37,4,0.77,17.80,17.21,9.14,-8.07,0.72,1.48,0.93,1.83,G0,,-176.9,7.1,-167.9,,,2.50,c,0.05,0.88,17.64,5.04,6.27,8.96,3080,-0.885026443726382,-0.14026744489145,-0.443906789550079
77,NGC 6273,M 19,255.65750,-26.26797,356.86887,9.38233,8.8,1.7,8.7,-0.5,1.4,-1.74,4,0.38,16.44,15.90,6.77,-9.13,0.35,1.03,0.66,1.35,F7,0.27,135.0,4.1,143.8,,,1.53,,0.43,1.32,16.77,3.98,8.52,9.38,3080,-0.868784782471259,-0.222136898616115,-0.442569994486274
78,Pal 6,,265.92583,-26.22250,2.09213,1.78010,5.8,2.2,5.8,0.2,0.2,-0.91,3,1.46,19.00,18.34,11.55,-6.79,,2.83,,,,,181.0,2.8,190.2,,,1.10,,0.66,1.20,21.51,3.46,8.34,8.64,3080,-0.894817914460568,-0.0637358332151348,-0.441858171277631
79,Terzan 10,,270.90167,-26.07250,4.48744,-1.99288,5.8,2.3,5.8,0.5,-0.2,-1.00,1,2.40,21.90,21.25,14.90,-6.35,,,,,,,,,,,,0.75,,0.90,1.55,21.28,4.64,9.34,8.74,3080,-0.898127403694672,0.0141350446764548,-0.439508096904554
80,NGC 6144,,246.80775,-26.02350,351.92887,15.70060,8.9,2.7,8.5,-1.2,2.4,-1.76,4,0.36,16.40,15.86,9.01,-6.85,0.35,0.96,0.60,1.10,F5/,0.25,193.8,0.6,201.9,,,1.55,,0.94,1.63,20.05,2.31,8.78,9.14,3080,-0.825995917392973,-0.353890059337767,-0.438739752418279
81,NGC 6553,,272.32333,-25.90869,5.25288,-3.02972,6.0,2.2,5.9,0.5,-0.3,-0.18,6,0.63,16.60,15.83,8.06,-7.77,1.34,1.73,1.01,2.13,G4,0.17,-3.2,1.5,6.1,,,1.16,,0.53,1.03,18.17,3.84,8.24,8.72,3080,-0.898752075389104,0.0364642195723646,-0.436938288176667
82,NGC 6638,,277.73375,-25.49747,7.89650,-7.15299,9.4,2.2,9.3,1.3,-1.2,-0.95,4,0.41,16.80,16.14,9.02,-7.12,0.56,1.15,0.72,1.50,G0,0.01,18.1,3.9,27.5,,,1.33,,0.22,0.51,17.30,4.09,7.83,8.46,3080,-0.894394281638635,0.121463366751865,-0.430471276056153
83,NGC 6544,,271.83575,-24.99733,5.83814,-2.20353,3.0,5.1,2.9,0.3,-0.1,-1.40,4,0.76,15.30,14.71,7.77,-6.94,0.73,1.46,0.98,1.92,F9,0.22,-27.3,3.9,-17.7,,,1.63,c:,0.05,1.21,16.31,6.06,5.35,8.24,3080,-0.905862298373667,0.0290336564680284,-0.422576079750468
84,NGC 6626,M 28,276.13671,-24.86978,7.79811,-5.58038,5.5,2.7,5.4,0.7,-0.5,-1.32,2,0.40,15.55,14.95,6.79,-8.16,0.46,1.08,0.69,1.41,F8,0.16,17.0,1.0,26.6,8.6,1.3,1.67,,0.24,1.97,15.77,4.86,7.62,9.17,3080,-0.902067031193636,0.0969877335517692,-0.420557309737912
85,Terzan 5,Terzan 11,267.02000,-24.77917,3.83928,1.68692,6.9,1.2,6.9,0.5,0.2,-0.23,3,2.28,22.04,21.27,13.85,-7.42,2.13,2.77,,,,,-93.0,2.0,-83.5,,,1.62,,0.16,0.72,21.08,5.14,7.57,8.53,3080,-0.906702180610906,-0.0472008854943294,-0.419121977572137
86,NGC 6284,,256.11879,-24.76486,358.34643,9.93994,15.3,7.5,15.0,-0.4,2.6,-1.26,2,0.28,17.40,16.79,8.83,-7.96,0.40,0.99,0.65,1.31,F9,0.03,27.5,1.7,36.7,6.3,0.9,2.50,c,0.07,0.66,16.35,4.55,7.24,9.09,3080,-0.881515602581411,-0.217846258544985,-0.418895273360161
87,NGC 1904,M 79,81.04621,-24.52472,227.23035,-29.34987,12.9,18.8,-7.7,-8.3,-6.3,-1.60,6,0.01,16.15,15.59,7.73,-7.86,0.06,0.65,0.44,0.91,F5,0.01,205.8,0.4,189.0,5.3,0.4,1.70,c:,0.16,0.65,16.02,4.08,7.83,8.95,3080,0.898695811500016,0.141596559180192,-0.415085837894595
88,UKS 1,,268.61333,-24.14528,5.12539,0.76396,7.8,0.7,7.8,0.7,0.1,-0.64,2,3.14,24.90,24.20,17.29,-6.91,,,,,,,57.0,6.0,66.7,,,2.10,,0.15,,25.52,4.41,7.26,0.00,3080,-0.912243980161878,-0.0220823483024803,-0.409051696673981
89,NGC 6401,,264.65250,-23.90950,3.45063,3.97996,10.6,2.7,10.5,0.6,0.7,-1.02,5,0.72,18.00,17.35,9.45,-7.90,0.93,1.58,1.02,2.01,F9,0.15,-65.0,8.6,-55.3,,,1.69,,0.25,1.91,18.70,3.79,7.97,9.53,3080,-0.910208023793906,-0.0851985889827483,-0.405293170256471
90,NGC 6656,M 22,279.09975,-23.90475,9.89225,-7.55164,3.2,4.9,3.2,0.6,-0.4,-1.70,8,0.34,14.15,13.60,5.10,-8.50,0.28,0.98,0.68,1.42,F5,0.14,-146.3,0.2,-136.6,7.8,0.3,1.38,,1.33,3.36,17.42,3.63,8.53,9.23,3080,-0.902714441292216,0.144587387073715,-0.405217379910682
91,NGC 6325,,259.49671,-23.76600,0.97305,8.00359,7.8,1.1,7.7,0.1,1.1,-1.25,4,0.91,17.90,17.29,10.33,-6.96,0.85,1.66,,2.15,G0,0.12,29.8,1.8,39.3,5.9,1.3,2.50,c,0.03,0.63,17.56,5.52,5.73,8.45,3080,-0.899864300722449,-0.166833464111594,-0.403002277335778
92,NGC 6642,,277.97542,-23.47519,9.81466,-6.43870,8.1,1.7,8.0,1.4,-0.9,-1.26,5,0.40,16.40,15.79,9.13,-6.66,0.57,1.11,0.72,1.45,F8,0.03,-57.2,5.4,-47.3,,,1.99,c:,0.10,0.73,16.82,4.64,6.95,8.52,3080,-0.908360865177818,0.127264378720557,-0.398352000776043
93,NGC 7099,M 30,325.09217,-23.17986,27.17914,-46.83551,8.1,7.1,4.9,2.5,-5.9,-2.27,4,0.03,15.10,14.64,7.19,-7.45,0.03,0.60,0.41,0.86,F3,0.01,-184.2,0.2,-179.6,5.5,0.4,2.50,c,0.06,1.03,15.35,5.01,6.37,8.88,3080,-0.526061754469826,0.75387217501023,-0.393618818439203
94,NGC 6093,M 80,244.26004,-22.97608,352.67323,19.46303,10.0,3.8,9.4,-1.2,3.3,-1.75,6,0.18,16.10,15.56,7.33,-8.23,0.21,0.84,0.56,1.11,F6,0.00,8.1,1.5,16.7,12.4,0.6,1.68,,0.15,0.61,15.11,4.79,7.78,8.80,3080,-0.829314020962933,-0.399834451923303,-0.390346853054413
95,Terzan 12,,273.06583,-22.74194,8.35811,-2.10077,4.8,3.4,4.7,0.7,-0.2,-0.50,1,2.06,20.50,19.77,15.63,-4.14,,,,,,,94.1,1.5,104.2,,,0.57,,0.83,0.75,23.75,3.40,8.46,7.78,3080,-0.920935346444558,0.0493253094760701,-0.386581300005745
96,NGC 6287,,256.28804,-22.70836,0.13086,11.02370,9.4,2.1,9.2,0.0,1.8,-2.10,2,0.60,17.20,16.72,9.35,-7.36,0.52,1.20,0.83,1.74,F5,0.13,-288.7,3.5,-279.1,,,1.38,,0.29,0.74,18.32,3.78,8.06,8.75,3080,-0.896190728062731,-0.218665921680188,-0.38604066318219
97,NGC 6717,Pal 9,283.77517,-22.70147,12.87597,-10.90019,7.1,2.4,6.8,1.6,-1.3,-1.26,3,0.22,15.55,14.94,9.28,-5.66,0.35,1.00,0.65,1.37,F6,0.01,22.8,3.4,32.7,,,2.07,,0.08,0.68,16.77,4.58,6.52,8.22,3080,-0.895994025560177,0.219665510774361,-0.385929746892757
98,NGC 6235,,253.35546,-22.17744,358.91768,13.51832,11.5,4.2,11.2,-0.2,2.7,-1.28,4,0.31,16.87,16.26,9.97,-6.29,0.44,1.05,0.66,1.36,F9,0.13,87.3,3.4,96.8,,,1.53,,0.33,1.00,19.12,2.97,8.08,8.89,3080,-0.887219227286022,-0.265242733010295,-0.377476271200223
99,NGC 6864,M 75,301.51954,-21.92117,20.30398,-25.74703,20.9,14.7,17.6,6.5,-9.1,-1.29,3,0.16,17.70,17.09,8.52,-8.57,0.28,0.87,0.55,1.16,F9,0.07,-189.3,3.6,-180.8,10.3,1.5,1.80,,0.09,0.46,15.52,4.51,7.89,9.15,3080,-0.79082754678728,0.484990834640308,-0.373330525884651
100,Pal 12,,326.66183,-21.25261,30.51012,-47.68167,19.0,15.8,11.0,6.5,-14.1,-0.85,6,0.02,17.13,16.46,11.99,-4.47,0.34,1.07,,,,,27.8,1.5,32.5,,,2.98,,0.02,1.72,19.21,3.64,5.22,9.28,3080,-0.512203299646619,0.778624208712272,-0.362480511804846
101,Eridanus,,66.18542,-21.18694,218.10617,-41.33224,90.1,95.0,-53.2,-41.7,-59.5,-1.43,4,0.02,20.42,19.83,14.70,-5.13,,0.79,,,,,-23.6,2.1,-39.1,,,1.10,,0.25,0.46,22.81,0.38,9.18,9.54,3080,0.853018248565092,0.376485255772343,-0.361412119056592
