__row,alt_name,bii,class,constell,dec,dimension,lii,name,notes,object_type,ra,vmag,vmag_uncert,__x_ra_dec,__y_ra_dec,__z_ra_dec
43,NGC 6402,14.8028608,3080,OPH,-3.2500,12,21.3199251,M 14,,GB,264.3998,7.6,,-0.993626477675952,-0.0974287615522454,-0.056692673985938
44,NGC 6218,26.3201003,3080,OPH,-1.9500,14,15.7085597,M 12,,GB,251.7998,6.6,,-0.949421066210086,-0.31215669648217,-0.0340269874928951
45,NGC 7089,-35.776606,3080,AQR,-0.8167,13,53.3861842,M 2,,GB,323.3748,6.5,,-0.596516722981655,0.802474064062057,-0.0142539717606512
46,NGC 1068,-51.9325646,6200,CET,-0.0167,7X6,172.1140082,M 77,,S,40.6748,8.8,,0.651765430573693,0.75842055508797,-0.000291768990102882
47,NGC 2068,-14.3395022,3500,ORI,0.0500,8X6,205.3476504,M 78,,DI,86.6748,8.0,*,0.998316064888072,0.0580023547801501,0.0008725974750081
48,NGC 5904,46.7886896,3080,SER,2.0834,17,3.8720916,M 5,,GB,229.6498,5.8,,-0.761598086127288,-0.647029179364397,0.0363537653935199
49,NGC 4303,66.2679741,6200,VIR,4.4667,6X5,284.3670852,M 61,,S,185.4748,9.7,,-0.0951189027872217,-0.992414762332297,0.0778802531935159
50,NGC 4472,70.1969214,6300,VIR,8.0001,9X7,286.9371459,M 49,,E,187.4498,8.4,,-0.128396385923757,-0.981908803526391,0.139174242010111
51,NGC 4649,74.3160898,6300,VIR,11.5501,7X6,295.9050967,M 60,,E,190.9248,8.8,,-0.185683447970626,-0.961993741130541,0.200224122361431
52,NGC 4621,74.3638958,6300,VIR,11.6501,5X3,294.3287645,M 59,,E,190.4998,9.8,,-0.178478714120407,-0.962999526190703,0.201933803912093
53,NGC 3351,56.3740343,6200,LEO,11.7001,7X5,233.9663007,M 95,,S,160.9998,9.7,,0.318806312474846,-0.925872243465886,0.202788372215072
54,NGC 2682,31.7033419,3600,CNC,11.8167,30,215.5698136,M 67,,OC,132.5998,6.9,,0.720499434980355,-0.66252930423543,0.2047815548879
55,NGC 3368,57.016566,6200,LEO,11.8167,7X5,234.4495889,M 96,,S,161.6998,9.2,,0.307340846395622,-0.929304036602522,0.204781863677136
56,NGC 4579,74.352564,6200,VIR,11.8167,5X4,290.3758736,M 58,,S,189.4248,9.8,,-0.160283417155582,-0.965594944622148,0.204781906195546
57,NGC 7078,-27.3181943,3080,PEG,12.1666,12,65.0173153,M 15,,GB,322.4999,6.4,,-0.595089973677174,0.77553217827602,0.210755222206597
58,NGC 4486,74.4979339,6300,VIR,12.4001,7,283.7476422,M 87,,E,187.6998,8.6,,-0.130857925454891,-0.967865930601554,0.214736451787836
59,NGC 4552,74.9627813,6300,VIR,12.5501,4,287.9721447,M 89,,E,188.9248,9.8,,-0.151431967243401,-0.964288479521191,0.217292631167059
60,NGC 3379,57.6282519,6300,LEO,12.5834,4X4,233.4812242,M 105,,E,161.9498,9.3,,0.302406921080635,-0.927947675201607,0.217860428188472
61,NGC 4374,74.4785396,6300,VIR,12.8834,5X4,278.2418156,M 84,,E,186.2748,9.3,,-0.10654641407926,-0.968985692791632,0.222967685577916
62,NGC 4406,74.6409379,6300,VIR,12.9501,7X6,279.0810303,M 86,,E,186.5498,9.2,,-0.111166301166936,-0.968204750442552,0.224101795408553
63,NGC 3627,64.4040268,6200,LEO,12.9834,9X4,241.9592707,M 66,,S,170.0498,9.0,,0.168374079801131,-0.959778168285408,0.224668727093536
64,NGC 3623,64.2101984,6200,LEO,13.0834,10X3,241.3374189,M 65,,S,169.7248,9.3,,0.173745308194077,-0.958420367765599,0.226369093589649
65,NGC 4569,75.6248369,6200,VIR,13.1667,10X5,288.4356548,M 90,,S,189.1998,9.5,,-0.155675515722523,-0.961186183728774,0.227785543907954
66,NGC 4501,76.5053936,6200,COM,14.4167,7X4,282.3480014,M 88,,S,187.9998,9.5,,-0.134788008461505,-0.959085380560698,0.248972740615758
67,NGC 4254,75.1868204,6200,COM,14.4167,5,270.4088418,M 99,,S,184.6998,9.8,,-0.0793556680064841,-0.965253981300999,0.248972748584692
68,NGC 4548,76.8305109,6200,COM,14.5001,5X4,285.6476567,M 91,ID WITH NGC 4548 IS POST-MESSIER,S,188.8498,10.2,,-0.148945114970184,-0.956621476663364,0.250381115727452
69,NGC 4192,74.9588936,6200,COM,14.9001,10X3,265.4294918,M 98,,S,183.4498,10.1,,-0.0581514217554962,-0.964624570699018,0.257133914043926
70,NGC 628,-45.7052785,6200,PSC,15.7833,10X9,138.6185225,M 74,,S,24.1748,9.2,,0.394082335826006,0.877904028865744,0.271999317446228
71,NGC 4321,76.8922605,6200,COM,15.8167,7X6,271.1350938,M 100,,S,185.7248,9.4,,-0.0959744709168893,-0.957339682835694,0.272561245594959
72,NGC 5024,79.7651201,3080,COM,18.1667,13,332.9351132,M 53,,GB,198.2248,7.7,,-0.29715747551788,-0.902490245764539,0.311783243686544
73,NGC 4382,79.2306615,6300,COM,18.1834,7X5,267.7340527,M 85,,E,186.3498,9.2,,-0.105075933007731,-0.944233981887552,0.312059666973054
74,NGC 6838,-4.5675608,3080,SGE,18.7833,7,56.7525678,M 71,,GB,298.4499,8.3,,-0.832409067398475,0.451018537227612,0.321989788021089
75,NGC 2632,32.5274471,3600,CNC,19.9834,95,205.5383003,M 44,PRAESEPE OR BEEHIVE CLUSTER,OC,130.0248,3.1,,0.719660510230832,-0.604398383811711,0.341747485228626
76,NGC 4826,84.4249817,6200,COM,21.6834,9X5,315.618726,M 64,BLACK-EYE GALAXY,S,194.1748,8.5,,-0.227553889062127,-0.900947053839587,0.369477514539749
77,NGC 1952,-5.7894132,3500,TAU,22.0167,6X4,184.5516527,M 1,CRAB NEBULA = SN 1054,DI,83.6248,8.4,:,0.921341960902673,0.102941013719941,0.374876164585492
78,NGC 6853,-3.6975619,3560,VUL,22.7166,8X4,60.8316025,M 27,DUMBBELL NEBULA,PL,299.8999,8.1,:,-0.79964919211332,0.459816191153478,0.38617384673955
79,,-23.5210791,3600,TAU,24.1166,110,166.5707638,M 45,PLEIADES OR SEVEN SISTERS CLUSTER,OC,56.7498,1.2,,0.763289842109178,0.50043822849614,0.408595394482844
80,NGC 2168,2.1913702,3600,GEM,24.3333,28,186.5910049,M 35,,OC,92.2248,5.1,,0.910476857921207,-0.0353718654332838,0.412044563519162
81,NGC 5272,78.7049754,3080,CVN,28.3834,16,42.2473562,M 3,,GB,205.5499,6.4,,-0.379448659778936,-0.793752359160404,0.475369232196682
82,NGC 6779,8.3348226,3080,LYR,30.1833,7,62.6600357,M 56,,GB,289.1499,8.2,,-0.816587399239581,0.283565104170395,0.502768188233871
83,NGC 598,-31.3385075,6200,TRI,30.6499,62X39,133.6253993,M 33,,S,23.4748,5.7,,0.342696375697191,0.789095607922701,0.509791443279614
84,NGC 2099,3.107943,3600,AUR,32.5500,24,177.64904,M 37,,OC,88.0998,5.6,,0.84245873987042,0.0279501756246225,0.538035369932588
85,NGC 6720,13.9767647,3560,LYR,33.0333,1,63.175395,M 57,RING NEBULA IN LYRA,PL,283.3999,9.0,:,-0.815530664567524,0.194285064885006,0.545126635482694
86,NGC 1960,1.0336442,3600,AUR,34.1333,12,174.5178885,M 36,,OC,84.0248,6.0,,0.82323705045606,0.0861654931430087,0.561120545469357
87,NGC 1912,0.6925367,3600,AUR,35.8333,21,172.2658237,M 38,,OC,82.1748,6.4,,0.803174036420164,0.110381135694223,0.585429305811893
88,NGC 6205,40.9110139,3080,HER,36.4667,17,59.0166972,M 13,HERCULES CLUSTER,GB,250.4249,5.9,,-0.757722118051165,-0.269441884260443,0.59435533380482
89,NGC 6913,0.6158323,3600,CYG,38.5333,7,76.9200105,M 29,,OC,305.9749,6.6,,-0.633052022179151,0.459515383384179,0.622969300726912
90,NGC 221,-21.9748624,6300,AND,40.8666,8X6,121.1507834,M 32,,E,10.6748,8.2,,0.140081165175796,0.743147794580906,0.654300101308663
91,NGC 4736,76.0111487,6200,CVN,41.1167,11X9,123.3505772,M 94,,S,192.7249,8.1,,-0.165944648785483,-0.734867898333895,0.657595274874893
92,NGC 224,-21.5751294,6200,AND,41.2666,178X63,121.1665173,M 31,ANDROMEDA GALAXY,S,10.6748,3.4,,0.139231626063011,0.738640894693731,0.659563630736181
93,NGC 205,-21.1410658,6300,AND,41.6833,17X10,120.7227618,M 110,,E?,10.0998,8.0,,0.130967403216203,0.735259275330825,0.665012283596923
94,NGC 5055,74.2852053,6200,CVN,42.0334,12X8,106.0161102,M 63,,S,198.9499,8.6,,-0.241202621918572,-0.702499686472904,0.669563653198916
95,NGC 1039,-15.6002816,3600,PER,42.7833,35,143.6340801,M 34,,OC,40.4998,5.2,,0.476646229503171,0.558084931697335,0.679227193884927
96,NGC 6341,34.8627186,3080,HER,43.1333,11,68.3346834,M 92,,GB,259.2749,6.5,,-0.717016512274827,-0.135806979533294,0.68369860716202
97,NGC 5194-5,68.5548309,6200,CVN,47.2001,11X8,104.8473945,M 51,WHIRLPOOL GALAXY,S,202.4749,8.1,,-0.259735281141137,-0.627835169380673,0.733730593487334
